"Sources: Current Population Survey, Bureau of Labor Statistics, and Federal Reserve Bank of Atlanta Calculations. 
Data updates can be found at https://www.frbatlanta/chcs/wage-growth-tracker. ",,,,,,,,,
The data are 12 month moving averages of monthly median wage growth for each category,,,,,,,,,
,16-24,25-54,55+,Overall,,,,,
1/1/97,.,.,.,.,,,,,
2/1/97,.,.,.,.,,,,,
3/1/97,.,.,.,.,,,,,
4/1/97,.,.,.,.,,,,,
5/1/97,.,.,.,.,,,,,
6/1/97,.,.,.,.,,,,,
7/1/97,.,.,.,.,,,,,
8/1/97,.,.,.,.,,,,,
9/1/97,.,.,.,.,,,,,
10/1/97,.,.,.,.,,,,,
11/1/97,.,.,.,.,,,,,
12/1/97,9.8,4.5,2.9,4.7,,,,,
1/1/98,9.9,4.6,2.9,4.7,,,,,
2/1/98,10.1,4.6,3.0,4.7,,,,,
3/1/98,10.2,4.5,2.9,4.7,,,,,
4/1/98,10.2,4.6,3.1,4.8,,,,,
5/1/98,10.0,4.7,3.2,4.9,,,,,
6/1/98,10.2,4.7,3.2,4.9,,,,,
7/1/98,10.2,4.7,3.2,5.0,,,,,
8/1/98,10.3,4.8,3.2,5.0,,,,,
9/1/98,10.2,4.8,3.2,5.0,,,,,
10/1/98,10.1,4.9,3.3,5.0,,,,,
11/1/98,10.0,4.9,3.4,5.0,,,,,
12/1/98,10.0,4.9,3.3,5.0,,,,,
1/1/99,9.9,4.9,3.2,5.1,,,,,
2/1/99,9.7,5.0,3.3,5.1,,,,,
3/1/99,9.7,5.1,3.2,5.2,,,,,
4/1/99,9.6,5.1,3.0,5.1,,,,,
5/1/99,9.7,5.1,3.1,5.1,,,,,
6/1/99,9.3,5.0,3.2,5.1,,,,,
7/1/99,9.2,5.0,3.2,5.0,,,,,
8/1/99,9.0,5.0,3.2,5.0,,,,,
9/1/99,8.8,5.0,3.2,5.0,,,,,
10/1/99,8.8,5.0,3.2,5.1,,,,,
11/1/99,8.9,5.1,3.1,5.1,,,,,
12/1/99,8.8,5.1,3.2,5.0,,,,,
1/1/00,8.6,5.0,3.3,5.0,,,,,
2/1/00,8.5,5.0,3.3,5.0,,,,,
3/1/00,8.4,4.9,3.4,4.9,,,,,
4/1/00,8.4,4.9,3.6,4.9,,,,,
5/1/00,8.3,4.9,3.6,4.9,,,,,
6/1/00,8.4,4.9,3.6,5.0,,,,,
7/1/00,8.7,5.0,3.6,5.0,,,,,
8/1/00,8.7,5.0,3.6,5.0,,,,,
9/1/00,9.1,4.9,3.7,5.0,,,,,
10/1/00,9.2,4.9,3.7,5.0,,,,,
11/1/00,9.3,5.0,3.7,5.1,,,,,
12/1/00,9.4,5.0,3.8,5.1,,,,,
1/1/01,9.5,5.1,3.7,5.1,,,,,
2/1/01,9.7,5.1,3.8,5.2,,,,,
3/1/01,9.8,5.1,3.7,5.2,,,,,
4/1/01,9.9,5.2,3.7,5.2,,,,,
5/1/01,9.8,5.1,3.8,5.2,,,,,
